texto,categoria
"As partes resolvem firmar o presente contrato de prestação de serviços, com cláusulas claras e definidas.",contrato
"As partes resolvem firmar o presente contrato de prestação de serviços, com cláusulas claras e definidas.",contrato
Ambas as partes comprometem-se a manter sigilo sobre todas as informações comerciais tratadas neste contrato.,contrato
"O presente instrumento vigorará por 12 (doze) meses, podendo ser renovado automaticamente.",contrato
Ambas as partes comprometem-se a manter sigilo sobre todas as informações comerciais tratadas neste contrato.,contrato
"As partes resolvem firmar o presente contrato de prestação de serviços, com cláusulas claras e definidas.",contrato
Fica estipulado que o pagamento será efetuado até o quinto dia útil de cada mês.,contrato
Ambas as partes comprometem-se a manter sigilo sobre todas as informações comerciais tratadas neste contrato.,contrato
"As partes resolvem firmar o presente contrato de prestação de serviços, com cláusulas claras e definidas.",contrato
Fica estipulado que o pagamento será efetuado até o quinto dia útil de cada mês.,contrato
"As partes resolvem firmar o presente contrato de prestação de serviços, com cláusulas claras e definidas.",contrato
Fica estipulado que o pagamento será efetuado até o quinto dia útil de cada mês.,contrato
Ambas as partes comprometem-se a manter sigilo sobre todas as informações comerciais tratadas neste contrato.,contrato
"O presente instrumento vigorará por 12 (doze) meses, podendo ser renovado automaticamente.",contrato
As cláusulas contratuais só poderão ser alteradas mediante termo aditivo assinado por ambas as partes.,contrato
"As partes resolvem firmar o presente contrato de prestação de serviços, com cláusulas claras e definidas.",contrato
"O presente instrumento vigorará por 12 (doze) meses, podendo ser renovado automaticamente.",contrato
Fica estipulado que o pagamento será efetuado até o quinto dia útil de cada mês.,contrato
Ambas as partes comprometem-se a manter sigilo sobre todas as informações comerciais tratadas neste contrato.,contrato
Ambas as partes comprometem-se a manter sigilo sobre todas as informações comerciais tratadas neste contrato.,contrato
"O presente instrumento vigorará por 12 (doze) meses, podendo ser renovado automaticamente.",contrato
"As partes resolvem firmar o presente contrato de prestação de serviços, com cláusulas claras e definidas.",contrato
"Por todo o exposto, requer-se a citação do réu para responder aos termos da presente ação.",petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
"Por todo o exposto, requer-se a citação do réu para responder aos termos da presente ação.",petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
"Por todo o exposto, requer-se a citação do réu para responder aos termos da presente ação.",petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
"Por todo o exposto, requer-se a citação do réu para responder aos termos da presente ação.",petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
"Por todo o exposto, requer-se a citação do réu para responder aos termos da presente ação.",petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
"Por todo o exposto, requer-se a citação do réu para responder aos termos da presente ação.",petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
"Por todo o exposto, requer-se a citação do réu para responder aos termos da presente ação.",petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
"Por todo o exposto, requer-se a citação do réu para responder aos termos da presente ação.",petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
"Por todo o exposto, requer-se a citação do réu para responder aos termos da presente ação.",petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
O autor não possui condições financeiras de arcar com as custas processuais.,petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
Requer-se a concessão da justiça gratuita nos termos da Lei 1.060/50.,petição
"Conforme prova documental em anexo, o direito do requerente está devidamente demonstrado.",petição
"Vem, respeitosamente, à presença de Vossa Excelência requerer a tutela antecipada.",petição
"A presente sentença resolve o mérito nos termos do artigo 487, I, do CPC.",sentenca
Determino a expedição de alvará judicial em favor da parte autora.,sentenca
Homologo o acordo celebrado entre as partes para que produza os efeitos legais.,sentenca
"Diante da ausência de contestação, decreta-se a revelia da parte requerida.",sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Determino a expedição de alvará judicial em favor da parte autora.,sentenca
Homologo o acordo celebrado entre as partes para que produza os efeitos legais.,sentenca
"Diante da ausência de contestação, decreta-se a revelia da parte requerida.",sentenca
"A presente sentença resolve o mérito nos termos do artigo 487, I, do CPC.",sentenca
"A presente sentença resolve o mérito nos termos do artigo 487, I, do CPC.",sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
"Diante da ausência de contestação, decreta-se a revelia da parte requerida.",sentenca
Determino a expedição de alvará judicial em favor da parte autora.,sentenca
"A presente sentença resolve o mérito nos termos do artigo 487, I, do CPC.",sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
"Diante da ausência de contestação, decreta-se a revelia da parte requerida.",sentenca
Determino a expedição de alvará judicial em favor da parte autora.,sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Determino a expedição de alvará judicial em favor da parte autora.,sentenca
Homologo o acordo celebrado entre as partes para que produza os efeitos legais.,sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Determino a expedição de alvará judicial em favor da parte autora.,sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
"Diante da ausência de contestação, decreta-se a revelia da parte requerida.",sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Determino a expedição de alvará judicial em favor da parte autora.,sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Determino a expedição de alvará judicial em favor da parte autora.,sentenca
"A presente sentença resolve o mérito nos termos do artigo 487, I, do CPC.",sentenca
Determino a expedição de alvará judicial em favor da parte autora.,sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Homologo o acordo celebrado entre as partes para que produza os efeitos legais.,sentenca
"Diante da ausência de contestação, decreta-se a revelia da parte requerida.",sentenca
"Diante da ausência de contestação, decreta-se a revelia da parte requerida.",sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
Julgo procedente o pedido inicial para condenar o réu ao pagamento das verbas rescisórias.,sentenca
"Havendo comprovação da relação de consumo, incide a inversão do ônus da prova.",jurisprudencia
A jurisprudência do STJ é pacífica no sentido de admitir a penhora de bem de família em caso de fiança locatícia.,jurisprudencia
"O réu agiu com negligência ao prestar o serviço, causando dano à parte autora. O nexo causal entre a negligência e o prejuízo ficou comprovado.",jurisprudencia
"O réu agiu com negligência ao prestar o serviço, causando dano à parte autora. O nexo causal entre a negligência e o prejuízo ficou comprovado.",jurisprudencia
"O réu agiu com negligência ao prestar o serviço, causando dano à parte autora. O nexo causal entre a negligência e o prejuízo ficou comprovado.",jurisprudencia
A Segunda Turma reconheceu a repercussão geral do tema para uniformizar o entendimento nos tribunais inferiores.,jurisprudencia
"O réu agiu com negligência ao prestar o serviço, causando dano à parte autora. O nexo causal entre a negligência e o prejuízo ficou comprovado.",jurisprudencia
"Havendo comprovação da relação de consumo, incide a inversão do ônus da prova.",jurisprudencia
A Segunda Turma reconheceu a repercussão geral do tema para uniformizar o entendimento nos tribunais inferiores.,jurisprudencia
A jurisprudência do STJ é pacífica no sentido de admitir a penhora de bem de família em caso de fiança locatícia.,jurisprudencia
"Havendo comprovação da relação de consumo, incide a inversão do ônus da prova.",jurisprudencia
"O réu agiu com negligência ao prestar o serviço, causando dano à parte autora. O nexo causal entre a negligência e o prejuízo ficou comprovado.",jurisprudencia
A Segunda Turma reconheceu a repercussão geral do tema para uniformizar o entendimento nos tribunais inferiores.,jurisprudencia
"O réu agiu com negligência ao prestar o serviço, causando dano à parte autora. O nexo causal entre a negligência e o prejuízo ficou comprovado.",jurisprudencia
A jurisprudência do STJ é pacífica no sentido de admitir a penhora de bem de família em caso de fiança locatícia.,jurisprudencia
A Segunda Turma reconheceu a repercussão geral do tema para uniformizar o entendimento nos tribunais inferiores.,jurisprudencia
A Segunda Turma reconheceu a repercussão geral do tema para uniformizar o entendimento nos tribunais inferiores.,jurisprudencia
A jurisprudência do STJ é pacífica no sentido de admitir a penhora de bem de família em caso de fiança locatícia.,jurisprudencia
A Segunda Turma reconheceu a repercussão geral do tema para uniformizar o entendimento nos tribunais inferiores.,jurisprudencia
"Havendo comprovação da relação de consumo, incide a inversão do ônus da prova.",jurisprudencia
